,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manually Add,Manually Add,Manually Add,Manually Add,,,Lookup from Alumni Report,Lookup from Alumni Report,I organized these columns to be in the beginning of the report for pivot table/reporting purposes,,,,,,,,,Manually Add,,,Manually Add,,Lookup from Student Affairs Spreadsheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International,Filled out survey,APSIA Job Category,APSIA Sector Category,Date Reported - NEW,Outcome,Concentration,Degree,Sector,Detailed Industry,Organization Name,Division,Job Title,Job City,Job State,Job Country,Job Title,Master Salary for Employment Statistics,Salary Range,Salary,LinkedIn Outcome Findings,Citizenship Status,OSA Country of Citizenship Lookup,Job Location State,Job Location Country,Sector,Detailed Industry,Job Phase,Job Source,"If you are not employed, are you currently seeking employment?",Continuing Education Full-time?,Organization Name,Company Description,Include in Reporting,30 hrs per week,Approximately how many hours a week do you serve?,Country where serving,Date of Offer Received,Degree to be Pursued After Graduation,Do you have a three (3) year STEM OPT visa?,Employer consideration for STEM,Gender,Approximately how many hours each month do you plan to volunteer?,Is Approved,Military Rank,Name of School in case of Continued Education,Program Name,Returning to previous employer,Scope of Organization,Self-employed,Sponsorship by Employer,Standard Job Source,What type of Own Venture is this?,What is the name of the fellowship program?,What will your enrollment status be at this school?,When did you actively start applying for a full-time job?,Why are you not seeking employment?,Base Salary Pay Period,Carried Interest Pay Period,Expected Bonus Pay Period,Expected Commission Pay Period,Guaranteed Bonus Pay Period,I'm volunteering and not currently receiving compensation,Salary plus Bonuses,Total Compensation Pay Period,End Date,Length of Commitment,Reported Date,Start Date,What is your approximate start date?,City,Country,Job Location,Metro Area,Postal Code,US State / Canada Province,Did this job come as a result of an internship you had with this employer?,Is this a faculty position?,Is this a freelance position?,Is this a full-time position?,Is this a post-graduation internship?,Is this a temporary/contract job?,Is this a tenured position?,Is your position a fellowship?,Other Outcome Additional Details,Please provide other pertinent information about your job,Reason for Rejecting,Will you be or are you currently working under Optional Practical Training (OPT) status?,Working at a Recently Founded Organization
No,Yes,30 Hours per week,Non-profit,09/28/2023,Job,Economic and Political Development,MIA,Nonprofit,University/Education,Columbia University SIPA,"Program Coordinator, International Conflict Resolution Specialization and Kent Global Leadership Program on Conflict Resolution",Program Coordinator,"New York,",NY,United States,Program Coordinator,,"o	$70,000-$74,999","o	$70,000-$74,999",,,,NY,United States,Non-profit,University/Education,Post Graduation,Job Posting,,,,"The School of International and Public Affairs (SIPA) at Columbia University, a renowned school of international affairs and public policy, seeks a strategic, innovative, and results-oriented leader to assume the inaugural position of Associate Dean for Diversity and Community Engagement. In collaboration with senior administrators, the Diversity, Equity, Inclusion, Climate & Engagement Committee (DEICE), and other constituencies, the Associate Dean will be responsible for spearheading the development of a Diversity, Equity, and Inclusion (DEI) action plan to advance SIPA’s culture of belonging and encourage inclusive community engagement. More broadly, the Associate Dean will coordinate DEI capacity-building activities for faculty, administrators, staff, and students and track and report on progress. This is an opportunity for a creative and collaborative leader to help shape the institutional climate of an outstanding academic institution and to help advance its ability to serve talented students from across the globe. 
 
At SIPA — the world’s leading school of global public policy — the values of diversity, equity, and inclusion are viewed as essential to its mission: to support the global public interest by educating students to serve and to lead, and to produce and share new knowledge on the critical public policy challenges facing the global community. With more than 1,200 graduate students, 75 full time and 250 adjunct faculty members, and a global alumni network of 24,000 graduates in 160 countries, SIPA prepares students from around the world to pursue careers in the public, private and non-profit sectors. SIPA’s student body is the largest and most diverse of any school of international and public affairs, with students hailing from more than 70 nations. SIPA’s faculty includes top scholars and eminent practitioners, and its research output is at the forefront of thinking about today’s global challenges, from international finance and economic policy, to global development, energy, the environment, international security and conflict resolution, humanitarian affairs, and urban and social policy—by way of a few key areas.",Yes,Yes,,United States (USA),08/01/2023,,No,,Male,,Yes,,,,No,,No,No,School Facilitated,,,,,,,per year,,,,,,,,,09/28/2023,08/14/2023,08/14/2023,New York - NY,United States (USA),Partially Remote,New York-Newark-Bridgeport -- NY-NJ-CT-PA,10027,New York,No,,,Yes,No,No,,No,,,,No,No
No,Yes,30 Hours per week,Non-profit,06/13/2023,Job,No Concentration,MPA-MDP,Nonprofit,University/Education,Columbia World Projects (CWP),"Monitoring, Evaluation, and Learning at Columbia Global","Project Officer- Monitoring, Evaluation, and Learning","New York,",NY,United States,"Project Officer- Monitoring, Evaluation, and Learning",,"o	$75,000-$79,999","o	$75,000-$79,999",,,,NY,United States,Non-profit,University/Education,Post Graduation,Job Posting,,,,"Columbia World Projects (CWP) is a university-wide initiative that aims to forge closer and more useful connections between Columbia University's research capabilities and the needs of the world by mobilizing researchers and scholars in collaboration with governments, organizations, businesses and communities to tackle critical global challenges. CWP’s current areas of social impact include climate, COVID-19, democratic renewal, energy access, inclusive urbanism, maternal health and unequal opportunity in rural America. CWP also leads the Obama Foundation Scholars Program, and engages with faculty, students, and community members to connect knowledge and action.",Yes,Yes,,United States (USA),04/10/2023,,,,Female,,Yes,,,,No,,No,No,School Facilitated,,,,,,,per year,,,,,"$75,000",,,,06/13/2023,05/18/2023,05/18/2023,New York - NY,United States (USA),Partially Remote,New York-Newark-Bridgeport -- NY-NJ-CT-PA,10027,New York,No,,,Yes,No,No,,No,,,,No,No
No,No,Unknown,,,Unreported,International Security Policy,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,For profit,,Job,Urban and Social Policy,MPA,Private,Other – Business Services,Communities Speak,,Survey Team Lead,"New York,",NY,United States,,,,,,,,NY,United States,Private,Other – Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,For profit,,Job,Urban and Social Policy,MPA,Private,Other – Business Services,Communities Speak,,Partnerships Team Lead,"New York,",NY,United States,,,,,,,,NY,United States,Private,Other – Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,30 Hours per week,Non-profit,07/30/2023,Job,INTERNATIONAL SECURITY POLICY,MIA,Nonprofit,Public Interest/Advocacy,Community Sponsorship Hub,,Independent Consultant,"New York,",NY,United States,,,,,,,,NY,United States,Non-profit,Public Interest/Advocacy,Post Graduation,,I have interviewed for one or more opportunities but have not received an offer of employment,,,,Yes,,,,,,,,Male,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,07/30/2023,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,For profit,,Job,No Concentration,MPA-ESP,Private,Other – Business Services,Con Edison,,Strategic Engagement Sr. Specialist,"New York,",NY,United States,,,,,,,,NY,United States,Private,Other – Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,Non-profit,,Job,No Concentration,EMPA,Nonprofit,Research/Think Tank,Consumer Reports,,Manager of Programs and Partnerships,"New York,",NY,United States,,,,,,,,NY,United States,Non-profit,Research/Think Tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,For profit,,Job,No Concentration,MPA-MDP,Private,Finance/Banking,Crow Holdings,,Sustainability Analyst,"New York,",NY,United States,,,,,,,,NY,United States,Private,Finance/Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Non-profit,,Job,ENERGY AND ENVIRONMENT,MIA,Nonprofit,Public Interest/Advocacy,CrowdDoing,,Project Manager,,California,United States,,,,,,,,California,United States,Non-profit,Public Interest/Advocacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,No Concentration,MPA-EPM,Private,Consulting,CRX1S,,Financial and Business Consultant,"New York,",NY,United States,,,,,,,,NY,United States,Private,Consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,INTERNATIONAL SECURITY POLICY,MPA,Private,Consulting,DAI,,Senior Associate,"Bethesda, ",MD,United States,,,,,,,,MD,United States,Private,Other – Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,30 Hours per week,For profit,06/13/2023,Job,International Finance and Economic Policy,MPA,Private,Finance/Banking,Davidson Kempner Capital Management LP,Investment Research,Investment Research Associate,"New York,",NY,United States,Investment Research Associate,,"o	$100,000-$104,999","o	$100,000-$104,999",,,,NY,United States,Private,Finance/Banking,Post Graduation,Job Posting,,,,"Established in 1983, Davidson Kempner is a global institutional investment management firm with more than $25 billion in assets under management.  The firm’s culture is based on a commitment to a collegial environment, global teamwork, and the highest ethical standards.",Yes,Yes,,United States (USA),04/21/2023,,,,Female,,Yes,,,,No,,No,Yes,School Facilitated,,,,,,,per year,,,,,,,,,06/13/2023,07/10/2023,07/10/2023,New York - NY,United States (USA),On Site,New York-Newark-Bridgeport -- NY-NJ-CT-PA,,New York,Yes,,,Yes,No,No,,No,,,,Yes,No
Yes,No,30 Hours per week,For profit,,Job,International Finance and Economic Policy,MPA,Private,Consulting,Deloitte,,Audit Assistant,"Boston, ",MA,United States,,,,,,,,MA,United States,Private,Consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,30 Hours per week,For profit,06/13/2023,Job,ENERGY AND ENVIRONMENT,MIA,Private,Consulting,Deloitte,Government & Public Sector (GPS) practice area,Strategy Consultant,"Arlington, ",VA,United States,Strategy Consultant,,"o	$115,000-$119,999","o	$115,000-$119,999",,,,VA,United States,Private,Consulting,Post Graduation,Other,,,,"""Deloitte"" is the brand under which 165,000 dedicated professionals in independent firms throughout the world collaborate to provide audit, consulting, financial advisory, risk management, and tax services to selected clients. These firms are members of Deloitte Touche Tohmatsu (""DTT""), a Swiss Verein. Each member firm provides services in a particular geographic area and is subject to the laws and professional regulations of the particular country or countries in which it operates. DTT helps coordinate the activities of the member firms but does not itself provide services to clients. DTT and the member firms are separate and distinct legal entities, which cannot obligate the other entities. DTT and each DTT member firm are only liable for their own acts or omissions, not those of any other entity. Each DTT member firm is structured differently in accordance with national laws, regulations, customary practice and other factors, and may secure the provision of professional services in their territories through subsidiaries, affiliates, and/or other entities.",Yes,Yes,,United States (USA),01/01/2023,,,,Female,,Yes,,,,No,,No,No,School Facilitated,,,,,,,per year,,,,,Includes signing bonus and relocation assistance,,,,06/13/2023,09/05/2023,09/05/2023,Arlington - VA,United States (USA),Partially Remote,Washington-Baltimore-Northern Virginia -- DC-MD-VA-WV,,Virginia,No,,,Yes,No,No,,No,,,,No,No
Yes,No,Unknown,,,Unreported,International Security Policy,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,30 Hours per week,For profit,07/06/2023,Job,No Concentration,MPA-MDP,Private,Consulting,Deloitte,ESG Strategy,Senior Consultant,"New York,",NY,United States,Senior Consultant,,"o	$170,000-$174,999","o	$170,000-$174,999",,,,NY,United States,Private,Consulting,Post Graduation,Personal Contact,,,,"""Deloitte"" is the brand under which 165,000 dedicated professionals in independent firms throughout the world collaborate to provide audit, consulting, financial advisory, risk management, and tax services to selected clients. These firms are members of Deloitte Touche Tohmatsu (""DTT""), a Swiss Verein. Each member firm provides services in a particular geographic area and is subject to the laws and professional regulations of the particular country or countries in which it operates. DTT helps coordinate the activities of the member firms but does not itself provide services to clients. DTT and the member firms are separate and distinct legal entities, which cannot obligate the other entities. DTT and each DTT member firm are only liable for their own acts or omissions, not those of any other entity. Each DTT member firm is structured differently in accordance with national laws, regulations, customary practice and other factors, and may secure the provision of professional services in their territories through subsidiaries, affiliates, and/or other entities.",Yes,Yes,,United States (USA),08/19/2022,,,,Female,,Yes,,,,No,,No,No,Graduate Facilitated,,,,,,,per year,,,,,,,,,07/06/2023,10/02/2023,10/02/2023,New York - NY,United States (USA),Partially Remote,New York-Newark-Bridgeport -- NY-NJ-CT-PA,10112,New York,Yes,,,Yes,Yes,No,,No,,,,No,No
No,Yes,Still Seeking Employment,,06/13/2023,Still Seeking Employment,Human Rights & Humanitarian Policy ,MPA,,,,,,,,,,,,,,,,,,,,Post Graduation,,I have applied for one or more opportunities but have not received an invitation to interview,,,,Yes,,,,,,,,Non-binary/Third gender,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,06/13/2023,,,,,,,,,,,,,,,,,,,,,
No,No,,,,Job,Urban and Social Policy,MPA,Private,Consulting,Deloitte,,"
Analyst","Arlington, ",VA,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,Unknown,,,Job,Human Rights & Humanitarian Policy ,MIA,Nonprofit,University/Education,Granite School District,,Mathematics Teacher,"Salt Lake City,",UT,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,Still Seeking Employment,,07/05/2023,Job,Economic and Political Development,MIA,Private,Consulting,Deloitte & Touche USA LLP,,Senior Consultant,"New York,",NY,United States,,,,,,,,,,,,Post Graduation,,I have interviewed for one or more opportunities but have not received an offer of employment,,,,Yes,,,,,,,,Male,,Yes,,,,,,,,,,,,o	Fall 2022,,,per year,,,,,,,,,07/05/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,INTERNATIONAL SECURITY POLICY,MPA,Private,Consulting,Dentons Global Advisors,,Senior Associate,"Brussels,",, Belgium,,,,,,,,, Belgium,Private,Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Non-profit,,Job,Human Rights & Humanitarian Policy ,MIA,Nonprofit,Public Interest/Advocacy,Deutsches Rotes Kreuz,,Research Assistant,"Berlin, ",,Germany,,,,,,,,,Germany,Non-profit,Public Interest/Advocacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Non-profit,,Job,Economic and Political Development,MPA,Nonprofit,Public Interest/Advocacy,Development Data Lab,,Predoctoral Researcher,,,India,,,,,,,,,India,Non-profit,Public Interest/Advocacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,International Finance and Economic Policy,MPA,Private,Other – Business Services,DFI Retail Group,,Financial Analyst,"Hong Kong, ",,China,,,,,,,,,China,Private,Other – Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,Still Seeking Employment,,06/30/2023,Job,International Security Policy,MIA,Nonprofit,Research/Think Tank,Next100,,Policy Entrepreneur,"New York,",NY,United States,,,,,,,,,,,,Post Graduation,,I have applied for one or more opportunities but have not received an invitation to interview,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,06/30/2023,,,,,,,,,,,,,,,,,,,,,
No,No,Unknown,,,Unreported,International Finance and Economic Policy,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,No Concentration,MPA-MDP,Private,Finance/Banking,DWS Group,,ESG Integration,"New York,",NY,United States,,,,,,,,NY,United States,Private,Finance/Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,Still Seeking Employment,,06/30/2023,Still Seeking Employment,Economic and Political Development,MIA,,,,,,,,,,,,,,,,,,,,Post Graduation,,I have applied for one or more opportunities but have not received an invitation to interview,,,,Yes,,,,,,,,Male,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,06/30/2023,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,Non-profit,,Job,No Concentration,EMPA,Nonprofit,Public Interest/Advocacy,Earthjustice,,Senior Major Gift Officer,"San Francisco,",CA,United States,,,,,,,,CA,United States,Non-profit,Foundations/Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,Unknown,,,Unreported,International Finance and Economic Policy,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,30 Hours per week,For profit,06/30/2023,Job,ECONOMIC AND POLITICAL DEVELOPMENT,MPA,Private,Other – Business Services,Easy Solar,Finance,Head of Origination,"Brussels,",,Belgium,Head of Origination,,"o	$50,000-$54,999","o	$50,000-$54,999",,,,,Belgium,Private,Other – Business Services,Post Graduation,Alumni Contact,,,,"Easy Solar is a west African company transforming the way households who are underserved by the grid live, work and play by making high-quality energy services affordable and accessible. Easy Solar distributes a range of solar products, appliances and complementary lifestyle products, while providing customers with consumer-financing solutions through mobile technology. Thus customers make small payments over time until they own the product outright. Sales are done through our ever-expanding network of agents and shops across the country.
Easy Solar is currently operational in Sierra Leone and Liberia, and our products and services have reached over 200,000 people since launching operations in 2016.",Yes,Yes,,Belgium,05/15/2023,,,,Male,,Yes,,,,No,,No,No,School Facilitated,,,,,,,per year,,,,,,,,,06/30/2023,05/15/2023,05/15/2023,Brussels - Belgium,Belgium,Partially Remote,Not US-Based Job,,Planning to work outside of the US,Yes,,,Yes,No,No,,No,,,,No,No
No,No,30 Hours per week,For profit,,Job,ENERGY AND ENVIRONMENT,MIA,Private,Other – Business Services,EDFEDF Renewables North America,,Environmental Defense Fund Climate Corps Fellow,"New York,",NY,United States,,,,,,,,NY,United States,Private,Other – Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Non-profit,,Job,No Concentration,MPA-MDP,Nonprofit,Nongovernmental Organizations,education pioneers,,early childhood education fellow,,,Illinois,,,,,,,,,Illinois,Non-profit,Nongovernmental Organizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,,02/24/2024,Job,International Finance and Economic Policy,MPA,Private,Finance/Banking,EF Hutton,,Vice President,"New York,",NY,United States,,,"o	$150,000-$154,999","o	$150,000-$154,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Unreported,ENERGY AND ENVIRONMENT,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Still Seeking Employment,,06/29/2023,Still Seeking Employment,International Finance and Economic Policy,MPA,,,,,,,,,,,,,,,,,,,,Post Graduation,,I have interviewed for one or more opportunities but have not received an offer of employment,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,06/29/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,No Concentration,MPA-ESP,Private,Technology,Efficio,,Business Analyst,"New York,",NY,United States,,,,,,,,NY,United States,Private,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,,07/01/2023,Job,DUAL MIA/MPP: SIPA and HERTIE,MIA   ,Nonprofit,Research/Think Tank,EG3,,Climate Policy Advisor,"Berlin, ",,Germany,,,,,,,,,,,,Post Graduation,,I have applied for one or more opportunities but have not received an invitation to interview,,,,Yes,,,,,,,,Male,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,07/01/2023,,,,,,,,,,,,,,,,,,,,,
No,Yes,30 Hours per week,For profit,06/16/2023,Job,ENERGY AND ENVIRONMENT,MIA,Private,Finance/Banking,Elevate Power,Renewable Energy Project Finance,Financial Analyst,"New York,",NY,United States,Financial Analyst,,"o	$100,000-$104,999","o	$100,000-$104,999",,,,NY,United States,Private,Finance/Banking,Post Graduation,Alumni Contact,,,,,Yes,Yes,,United States (USA),04/30/2023,,,,Male,,Yes,,,,No,,No,No,School Facilitated,,,,,,,per year,,,,,25% target bonus,,,,06/16/2023,05/22/2023,05/22/2023,New York - NY,United States (USA),Partially Remote,New York-Newark-Bridgeport -- NY-NJ-CT-PA,,New York,No,,,Yes,No,No,,No,,,,No,Yes
Yes,Yes,30 Hours per week,Non-profit,06/14/2023,Job,ENERGY AND ENVIRONMENT,MIA,Nonprofit,Research/Think Tank,Energy for Growth Hub,Energy,Research Associate,"Washington, DC",,United States,Research Associate,,"o	$80,000-$84,999","o	$80,000-$84,999",,,,"Washington, DC",United States,Non-profit,Research/Think Tank,Post Graduation,Job Posting,,,,,Yes,Yes,,United States (USA),04/01/2023,,,,Female,,Yes,,,,No,,No,Yes,School Facilitated,,,,,,,per year,,,,,,,,,06/14/2023,06/05/2023,06/05/2023,Washington - DC,United States (USA),100% Remote,Washington-Baltimore-Northern Virginia -- DC-MD-VA-WV,,District of Columbia,No,,,Yes,No,No,,No,,,,Yes,No
Yes,No,30 Hours per week,Non-profit,,Job,ECONOMIC AND POLITICAL DEVELOPMENT,MPA,Nonprofit,Public Interest/Advocacy,Environmental Defense Fund,,Project Manager,"New York,",NY,United States,,,,,,,,NY,United States,Non-profit,Public Interest/Advocacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,,,,Job,No Concentration,MPA-MDP,Nonprofit,Public Interest/Advocacy,Environmental Defense Fund,,Foundations Officer,"New York,",NY,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,30 Hours per week,Non-profit,08/03/2023,Job,No Concentration,MPA-ESP,Nonprofit,Public Interest/Advocacy,Environmental Defense Fund,,Graduate Consultant,"New York,",NY,United States,,,,,,,,NY,United States,Non-profit,Public Interest/Advocacy,Post Graduation,,I have interviewed for one or more opportunities but have not received an offer of employment,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,08/03/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,International Finance and Economic Policy,MPA,Private,Consulting,Enzo Advisors LLC,,ESG Associate,"New York,",NY,United States,,,,,,,,NY,United States,Private,Finance/Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,For profit,,Job,ENERGY AND ENVIRONMENT,MIA,Private,Other – Business Services,Ergo,,Senior Analyst,"New York,",NY,United States,,,,,,,,NY,United States,Private,Other – Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,30 Hours per week,For profit,06/13/2023,Job,No Concentration,MPA-MDP,Private,Consulting,ERM,Corporate Sustainability - Oil & Gas,"Consultant II, Sustainability and Climate Change","New York,",NY,United States,"Consultant II, Sustainability and Climate Change",,"o	$85,000-$89,999","o	$85,000-$89,999",,,,NY,United States,Private,Consulting,Post Graduation,LinkedIn Group,,,,,Yes,Yes,,United States (USA),04/28/2023,,,,Female,,Yes,,,,No,,No,No,School Facilitated,,,,,,,per year,,,,,,,,,06/13/2023,06/19/2023,06/19/2023,New York - NY,United States (USA),Partially Remote,New York-Newark-Bridgeport -- NY-NJ-CT-PA,10017,New York,No,,,Yes,No,No,,No,,,,No,No
Yes,No,30 Hours per week,For profit,,Job,No Concentration,MPA-MDP,Private,Consulting,Eunomia Research & Consulting,,Consultant,"New York,",NY,United States,,,,,,,,NY,United States,Private,Consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,30 Hours per week,For profit,10/04/2023,Job,ENERGY AND ENVIRONMENT,MIA,Private,Consulting,Eurasia Group,,Middle East & North Africa Practice,"New York,",NY,United States,,,,,,,,NY,United States,Private,Consulting,Post Graduation,,I have received one or more offers of employment and I am currently deciding,,,,Yes,,,,,,,,Male,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,10/04/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Government,,Job,INTERNATIONAL SECURITY POLICY,MIA   ,Public,Foreign Government,European Commission,,Blue Book Trainee,"Berlin, ",,Germany,,,,,,,,,Germany,Public,Foreign Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,,,,Job,Human Rights & Humanitarian Policy ,MPA,Public,Multilateral Organizations,European Union Delegation to the UN,,"
Policy Officer, Human Rights & Social Issues","New York,",NY,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,For profit,,Job,ENERGY AND ENVIRONMENT,MIA,Private,Finance/Banking,Exus Management Partners,,M&A Analyst,"Pittsburgh,",PA,United States,,,,,,,,PA,United States,Private,Finance/Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,,,,Job,International Finance and Economic Policy,MIA,Private,Consulting,EY,,Transaction Economics Group Analyst,"New York,",NY,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,30 Hours per week,For profit,07/14/2023,Job,International Finance and Economic Policy,MPA,Private,Consulting,EY,,Graduate Consultant,"New York,",NY,United States,,,,,,,,NY,United States,Private,Finance/Banking,Post Graduation,,I have interviewed for one or more opportunities but have not received an offer of employment,,,,Yes,,,,,,,,Male,,Yes,,,,,,,,,,,,o	Fall 2022,,,per year,,,,,,,,,07/14/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,DUAL MPA/MPP: SIPA and HERTIE,MPA   ,Private,Consulting,EY-Parthenon,,Senior Consultant,"New York,",NY,United States,,,,,,,,NY,United States,Private,Finance/Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,Government,,Job,ENERGY AND ENVIRONMENT,MPA,Public,U.S. Government,Federal Energy Regulatory Commission,,Energy Industry Consultant,"New York,",NY,United States,,,,,,,,NY,United States,Public,U.S. Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
